sample_id,instr,playing_mode,sounding_note,dyn,acoustic_density,filename
double_bass_G4_mf,double_bass,ordinary,G4,mf,12.457552,double_bass_ordinary_cdm.json
double_bass_G4_ff,double_bass,ordinary,G4,ff,21.847957,double_bass_ordinary_cdm.json
double_bass_G#4_pp,double_bass,ordinary,G#4,pp,16.930815,double_bass_ordinary_cdm.json
double_bass_G#4_mf,double_bass,ordinary,G#4,mf,11.427322,double_bass_ordinary_cdm.json
double_bass_G#4_ff,double_bass,ordinary,G#4,ff,21.465863,double_bass_ordinary_cdm.json
double_bass_A4_pp,double_bass,ordinary,A4,pp,14.938533,double_bass_ordinary_cdm.json
double_bass_A4_mf,double_bass,ordinary,A4,mf,9.375939,double_bass_ordinary_cdm.json
double_bass_A4_ff,double_bass,ordinary,A4,ff,16.478785,double_bass_ordinary_cdm.json
double_bass_A#4_pp,double_bass,ordinary,A#4,pp,14.887534,double_bass_ordinary_cdm.json
double_bass_A#4_mf,double_bass,ordinary,A#4,mf,12.217823,double_bass_ordinary_cdm.json
double_bass_A#4_ff,double_bass,ordinary,A#4,ff,15.484825,double_bass_ordinary_cdm.json
double_bass_B4_pp,double_bass,ordinary,B4,pp,11.511656,double_bass_ordinary_cdm.json
double_bass_B4_mf,double_bass,ordinary,B4,mf,6.621719,double_bass_ordinary_cdm.json
double_bass_B4_ff,double_bass,ordinary,B4,ff,13.028944,double_bass_ordinary_cdm.json
double_bass_C5_pp,double_bass,ordinary,C5,pp,11.479589,double_bass_ordinary_cdm.json
double_bass_C5_mf,double_bass,ordinary,C5,mf,6.146346,double_bass_ordinary_cdm.json
double_bass_C5_ff,double_bass,ordinary,C5,ff,11.26156,double_bass_ordinary_cdm.json
viola_C3_pp,viola,ordinary,C3,pp,53.040231,viola_ordinary_cdm.json
viola_C3_mf,viola,ordinary,C3,mf,62.806258,viola_ordinary_cdm.json
viola_C3_ff,viola,ordinary,C3,ff,64.678251,viola_ordinary_cdm.json
viola_C#3_pp,viola,ordinary,C#3,pp,52.628812,viola_ordinary_cdm.json
viola_C#3_mf,viola,ordinary,C#3,mf,55.856171,viola_ordinary_cdm.json
viola_C#3_ff,viola,ordinary,C#3,ff,55.464366,viola_ordinary_cdm.json
viola_D3_pp,viola,ordinary,D3,pp,46.300964,viola_ordinary_cdm.json
viola_D3_mf,viola,ordinary,D3,mf,48.825667,viola_ordinary_cdm.json
viola_D3_ff,viola,ordinary,D3,ff,53.258255,viola_ordinary_cdm.json
viola_D#3_pp,viola,ordinary,D#3,pp,42.732057,viola_ordinary_cdm.json
viola_D#3_mf,viola,ordinary,D#3,mf,51.148026,viola_ordinary_cdm.json
viola_D#3_ff,viola,ordinary,D#3,ff,51.741686,viola_ordinary_cdm.json
viola_E3_pp,viola,ordinary,E3,pp,42.562219,viola_ordinary_cdm.json
viola_E3_mf,viola,ordinary,E3,mf,45.746578,viola_ordinary_cdm.json
viola_E3_ff,viola,ordinary,E3,ff,45.88106,viola_ordinary_cdm.json
viola_F3_pp,viola,ordinary,F3,pp,32.676859,viola_ordinary_cdm.json
viola_F3_mf,viola,ordinary,F3,mf,38.48503,viola_ordinary_cdm.json
viola_F3_ff,viola,ordinary,F3,ff,38.922533,viola_ordinary_cdm.json
viola_F#3_pp,viola,ordinary,F#3,pp,35.703137,viola_ordinary_cdm.json
viola_F#3_mf,viola,ordinary,F#3,mf,39.983901,viola_ordinary_cdm.json
